이름,이메일,연락처,담당,차량,동반자
아이언맨,"아이언맨
iron@gmail.com",010 1234 1111,진행자 소개(10m),네,4명
캡틴아메리카,"캡틴아메리카
captain@gmail.com",010.1234.2222,소그룹 형성(10m),아니오,1명
토르,"토르
thor@gmail.com",010-1234-3333,1차 토론(1h 20m),아니요,4명 (애 2명)
호크아이,"호크아이
eye@gmail.com",1012344444,휴식(15m),네니요,1명
블랙위도우,"블랙위도우
black@gmail.com",010 1234 5555,발표(1h),네니오,3명 - 애 2명 (30일 저녁 귀가 예정)
헐크,"헐크
hulk@gmail.com",010.1234.6666,발표(0.5h),모름,2명
퀵실버,"퀵실버
quick@gmail.com",010-1234-7777,2차 토론(1h 40m),아니,1명
스칼렛위치,"스칼렛위치
witch@gmail.com",1012348888,휴식(15m),아니네,1명(30일 저녁 귀가 예정)
앤트맨,"앤트맨
ant@gmail.com",010 1234 9999,발표(1.5h),내,1명
스파이더맨,"스파이더맨
spider@gmail.com",010.1234.0000,발표(30m),네,2명(30일 저녁 귀가)
퓨리,"퓨리
fury@gmail.com",010-1234-1234,회고(20m),아니요,1명(30일 저녁 귀가)
