이름,이메일,연락처,담당,차량,동반자
아이언맨,"아이언맨
iron@gmail.com",010 1234 1111,진행자 소개(10m),네,4명
캡틴아메리카,"캡틴아메리카
captain@gmail.com",010.1234.2222,소그룹 형성(10m),아니오,1명
토르,"토르
thor@gmail.com",010-1234-3333,1차 토론(1h 20m),아니요,4명 (애 2명)
호크아이,"호크아이
eye@gmail.com",1012344444,휴식(15m),네니요,1명
블랙위도우,"블랙위도우
black@gmail.com",010 1234 5555,발표(1h),네니오,3명 - 애 2명 (30일 저녁 귀가 예정)
헐크,"헐크
hulk@gmail.com",010.1234.6666,발표(0.5h),모름,2명
퀵실버,"퀵실버
quick@gmail.com",010-1234-7777,2차 토론(1h 40m),아니,1명
스칼렛위치,"스칼렛위치
witch@gmail.com",1012348888,휴식(15m),아니네,1명(30일 저녁 귀가 예정)
앤트맨,"앤트맨
ant@gmail.com",010 1234 9999,발표(1.5h),내,1명
스파이더맨,"스파이더맨
spider@gmail.com",010.1234.0000,발표(30m),네,2명(30일 저녁 귀가)
퓨리,"퓨리
fury@gmail.com",010-1234-1234,회고(20m),아니요,1명(30일 저녁 귀가)
이름,이메일,연락처,담당,차량,동반자
아이언맨,"아이언맨
iron@gmail.com",11 1234 1111,진행자 소개(11m),네,2명
캡틴아메리카,"캡틴아메리카
captain@gmail.com",010.1234.2223,소그룹 형성(11m),아니오,5명
토르,"토르
thor@gmail.com",010-1234-3334,1차 토론(1h 21m),아니요,4명 (애 3명)
호크아이,"호크아이
eye@gmail.com",1012344445,휴식(16m),네니요,2명
블랙위도우,"블랙위도우
black@gmail.com",11 1234 5555,발표(2h),네니오,3명 - 애 2명 (31일 저녁 귀가 예정)
헐크,"헐크
hulk@gmail.com",010.1234.6667,발표(0.6h),모름,0명
퀵실버,"퀵실버
quick@gmail.com",010-1234-7778,2차 토론(1h 41m),아니,1명
스칼렛위치,"스칼렛위치
witch@gmail.com",1012348889,휴식(16m),아니네,1명(31일 저녁 귀가 예정)
앤트맨,"앤트맨
ant@gmail.com",11 1234 9999,발표(1.6h),내,2명
스파이더맨,"스파이더맨
spider@gmail.com",010.1234.0001,발표(31m),네,2명(31일 저녁 귀가)
퓨리,"퓨리
fury@gmail.com",010-1234-1235,회고(21m),아니요,1명(31일 저녁 귀가)
이름,이메일,연락처,담당,차량,동반자
아이언맨,"아이언맨
iron@gmail.com",12 1234 1111,진행자 소개(12m),네,8명
캡틴아메리카,"캡틴아메리카
captain@gmail.com",010.1234.2224,소그룹 형성(12m),아니오,11명
토르,"토르
thor@gmail.com",010-1234-3335,1차 토론(1h 22m),아니요,4명 (애 4명)
호크아이,"호크아이
eye@gmail.com",1012344446,휴식(17m),네니요,3명
블랙위도우,"블랙위도우
black@gmail.com",12 1234 5555,발표(3h),네니오,3명 - 애 2명 (32일 저녁 귀가 예정)
헐크,"헐크
hulk@gmail.com",010.1234.6668,발표(0.7h),모름,2명
퀵실버,"퀵실버
quick@gmail.com",010-1234-7779,2차 토론(1h 42m),아니,3명
스칼렛위치,"스칼렛위치
witch@gmail.com",1012348890,휴식(17m),아니네,1명(32일 저녁 귀가 예정)
앤트맨,"앤트맨
ant@gmail.com",12 1234 9999,발표(1.7h),내,3명
스파이더맨,"스파이더맨
spider@gmail.com",010.1234.0002,발표(32m),네,2명(32일 저녁 귀가)
퓨리,"퓨리
fury@gmail.com",010-1234-1236,회고(22m),아니요,1명(32일 저녁 귀가)
이름,이메일,연락처,담당,차량,동반자
아이언맨,"아이언맨
iron@gmail.com",13 1234 1111,진행자 소개(13m),네,14명
캡틴아메리카,"캡틴아메리카
captain@gmail.com",010.1234.2225,소그룹 형성(13m),아니오,17명
